Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Agricultural Areas,2,4951205.0,697335.0,1023,1608,1811,3288,0.28966464012550913,0.5696104897801774,0.4344543582704187,-0.3431372549019538
Agricultural Areas,2,4951205.0,697345.0,823,1066,1538,3265,0.3595669373308274,0.6829866329194021,0.5392942645987301,-0.5077349341953242
Agricultural Areas,2,4951205.0,697355.0,893,1221,1538,3265,0.3595669373308274,0.7448460277753817,0.5392942645987301,-0.45563976816762247
Agricultural Areas,2,4951205.0,697365.0,853,1183,1612,3176,0.32664995822889875,0.6060606060606061,0.4899237757126449,-0.45721495755906266
Agricultural Areas,2,4951205.0,697375.0,935,1337,1612,3176,0.32664995822889875,0.6699220423198835,0.4899237757126449,-0.40748947485042303
Agricultural Areas,2,4951205.0,697385.0,990,1442,1604,3383,0.3567274914778352,0.7966147232670607,0.5350375939849624,-0.40227979274610565
Agricultural Areas,2,4951205.0,697395.0,1013,1435,1604,3383,0.3567274914778352,0.8220127529803161,0.5350375939849624,-0.40431714404316305
Agricultural Areas,2,4951205.0,697405.0,857,1148,1276,2910,0.39034878165312015,0.9868341587148206,0.5854532425653888,-0.4342040413996936
Urban Areas,1,4951205.0,697415.0,889,1060,1276,2910,0.39034878165312015,1.04757020130786,0.5854532425653888,-0.46599496221661296
Urban Areas,1,4951205.0,697425.0,805,1005,1003,2897,0.4856410256410132,1.6449539690811186,0.7283681579284708,-0.48487954894924434
Forests and semi-natural areas,3,4951205.0,697435.0,719,823,1003,2897,0.4856410256410132,1.3438342557116503,0.7283681579284708,-0.5575268817204151
Forests and semi-natural areas,3,4951205.0,697445.0,464,378,694,3652,0.6806258628623866,1.7050956882637769,1.0208213505119061,-0.8124069478907987
Forests and semi-natural areas,3,4951205.0,697455.0,439,257,694,3652,0.6806258628623866,1.6344347441706266,1.0208213505119061,-0.8685085699667212
Forests and semi-natural areas,3,4951205.0,697465.0,402,255,528,3458,0.7350727546412259,2.0279623477297894,1.1024708390819014,-0.8626447616482397
Forests and semi-natural areas,3,4951205.0,697475.0,416,244,528,3458,0.7350727546412259,2.0886797832905617,1.1024708390819014,-0.8681793625067297
Forests and semi-natural areas,3,4951205.0,697485.0,428,262,594,3609,0.7173447537473062,1.9014883955600403,1.075889140002379,-0.8646344613794662
Forests and semi-natural areas,3,4951205.0,697495.0,450,257,594,3609,0.7173447537473062,1.9840747565148724,1.075889140002379,-0.8670460424210846
Forests and semi-natural areas,3,4951205.0,697505.0,435,270,627,3154,0.6683417085426959,1.7286906553564099,1.0023800079333598,-0.8422897196261436
Forests and semi-natural areas,3,4951205.0,697515.0,402,259,627,3154,0.6683417085426959,1.6190415171706818,1.0023800079333598,-0.8482273659536815
Forests and semi-natural areas,3,4951205.0,697525.0,427,270,754,2471,0.5324031007751773,1.1315407934625017,0.7984808556812897,-0.8029916089018313
